,Best Obj.,aisle_first: Delta,aisle_first: Obj
1,15.0000,0.0000,15.0000
2,2.0000,0.0000,2.0000
3,8.5000,0.0000,8.5000
4,3.5000,0.0000,3.5000
5,172.3750,0.0000,172.3750
6,691.0000,0.0000,691.0000
7,372.5000,0.0000,372.5000
8,146.6316,0.0000,146.6316
9,3.2000,0.0000,3.2000
10,12.4887,0.0000,12.4887
11,10.9474,0.0000,10.9474
12,11.2500,0.0000,11.2500
13,107.8571,0.0000,107.8571
14,179.1818,0.0000,179.1818
15,149.0000,0.0000,149.0000
16,85.0000,0.0000,85.0000
17,36.5000,0.0000,36.5000
18,115.4000,0.0000,115.4000
19,202.0000,0.0000,202.0000
20,4.5000,0.0000,4.5000
MEDIA,116.4416,0.0000,116.4416
