,Andre Feijo: par-it,Andre Feijo: par-it+ref-lin,Andre Feijo: ref-lin,result_0006: aisle_first
0001,0.00,0.00,0.00,0.00
0002,0.00,0.00,0.00,0.00
0003,0.00,0.00,0.00,0.00
0004,0.00,0.00,0.00,0.00
0005,0.00,2.00,5.00,0.00
0006,0.00,0.00,0.00,0.00
0007,0.00,0.00,0.00,0.00
0008,0.00,2.00,3.00,0.00
0009,0.00,0.00,0.00,0.00
0010,0.00,1.00,13.00,0.00
0011,0.00,0.00,11.00,0.00
0012,0.00,0.00,0.00,0.00
0013,0.00,0.00,0.00,0.00
0014,0.00,0.00,0.00,0.00
0015,0.00,0.00,0.00,0.00
0016,0.00,0.00,0.00,0.00
0017,0.00,0.00,0.00,0.00
0018,0.00,0.00,0.00,0.00
0019,0.00,0.00,0.00,0.00
0020,0.00,0.00,0.00,0.00
MEDIA,0.00,0.25,1.60,0.00
