dataset,instance,gvns,gvns
,,RPD (%) ± DP,tempo (s) ± DP
a,instance_0001,0.0000 ± 0.0000,600.0275 ± 0.0035
a,instance_0002,0.0000 ± 0.0000,600.0120 ± 0.0014
a,instance_0003,0.0000 ± 0.0000,600.0495 ± 0.0064
a,instance_0004,0.0000 ± 0.0000,600.0280 ± 0.0071
a,instance_0005,0.0000 ± 0.0000,601.2495 ± 0.0983
a,instance_0006,0.0000 ± 0.0000,601.2895 ± 0.1294
a,instance_0007,0.0000 ± 0.0000,601.0355 ± 0.2524
a,instance_0008,0.0000 ± 0.0000,600.8605 ± 0.1153
a,instance_0009,9.4340 ± 0.0000,600.1620 ± 0.0283
a,instance_0010,2.1005 ± 0.8973,601.3750 ± 0.1160
a,instance_0011,5.8362 ± 0.0249,601.1165 ± 0.1096
a,instance_0012,0.0000 ± 0.0000,600.1135 ± 0.0276
a,instance_0013,0.0000 ± 0.0000,601.0295 ± 0.2298
a,instance_0014,0.2002 ± 0.0000,602.2855 ± 0.5226
a,instance_0015,0.0000 ± 0.0000,600.9450 ± 0.0000
a,instance_0016,0.0000 ± 0.0000,600.1535 ± 0.0163
a,instance_0017,0.0000 ± 0.0000,600.0605 ± 0.0148
a,instance_0018,0.0000 ± 0.0000,600.4130 ± 0.0424
a,instance_0019,0.0000 ± 0.0000,600.1450 ± 0.0481
a,instance_0020,0.0000 ± 0.0000,600.0180 ± 0.0014
b,instance_0001,0.0000 ± 0.0000,601.0275 ± 0.0262
b,instance_0002,0.0000 ± 0.0000,600.6295 ± 0.1421
b,instance_0003,0.0000 ± 0.0000,600.4710 ± 0.1075
b,instance_0004,0.1635 ± 0.0178,600.7435 ± 0.0191
b,instance_0005,0.0453 ± 0.0640,600.5410 ± 0.0651
b,instance_0006,0.5872 ± 0.0307,600.8005 ± 0.1280
b,instance_0007,0.0000 ± 0.0000,600.1785 ± 0.0530
b,instance_0008,0.2422 ± 0.1557,601.6815 ± 0.5353
b,instance_0009,0.1732 ± 0.0000,601.2130 ± 0.2630
b,instance_0010,0.0000 ± 0.0000,601.5080 ± 0.4879
b,instance_0011,0.6898 ± 0.0157,611.8675 ± 0.5791
b,instance_0012,0.0000 ± 0.0000,604.9895 ± 1.3965
b,instance_0013,0.7119 ± 0.0727,608.7665 ± 1.4093
b,instance_0014,0.5460 ± 0.4260,606.9620 ± 0.3946
b,instance_0015,0.0645 ± 0.0304,602.1140 ± 0.3182
x,instance_0001,0.3684 ± 0.4000,600.8360 ± 0.1923
x,instance_0002,0.0000 ± 0.0000,600.2920 ± 0.0269
x,instance_0003,0.0499 ± 0.0000,600.9355 ± 0.0021
x,instance_0004,0.0000 ± 0.0000,600.5905 ± 0.0318
x,instance_0005,0.0000 ± 0.0000,600.9320 ± 0.1739
x,instance_0006,0.0372 ± 0.0527,600.6400 ± 0.1103
x,instance_0007,0.3006 ± 0.0472,600.9960 ± 0.0354
x,instance_0008,1.8750 ± 2.6158,603.3340 ± 0.5926
x,instance_0009,0.6098 ± 0.1294,609.2760 ± 1.1795
x,instance_0010,0.2333 ± 0.0000,611.8285 ± 1.4757
x,instance_0011,0.3066 ± 0.0334,603.4345 ± 0.3613
x,instance_0012,0.1368 ± 0.0176,607.8050 ± 0.7142
x,instance_0013,0.2290 ± 0.0000,607.9190 ± 0.0721
x,instance_0014,0.0408 ± 0.0000,607.5050 ± 0.8358
x,instance_0015,0.0000 ± 0.0000,600.7080 ± 0.0849
