dataset,instance,gvns_10000_0.1265_0.09_4_gap,ils_tuned_gap
a,instance_0001,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0002,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0003,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0004,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0005,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0006,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0007,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0008,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0009,0.0000 +- 0.0000,13.2893 +- 2.0818
a,instance_0010,1.4175 +- 0.7498,1.5139 +- 0.0704
a,instance_0011,3.0415 +- 1.7835,6.2841 +- 0.1544
a,instance_0012,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0013,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0014,0.0751 +- 0.0354,0.1251 +- 0.0354
a,instance_0015,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0016,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0017,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0018,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0019,0.0000 +- 0.0000,0.0000 +- 0.0000
a,instance_0020,0.0000 +- 0.0000,0.0000 +- 0.0000
b,instance_0001,0.0000 +- 0.0000,0.0000 +- 0.0000
b,instance_0002,0.0000 +- 0.0000,0.0000 +- 0.0000
b,instance_0003,0.0000 +- 0.0000,0.0000 +- 0.0000
b,instance_0004,0.1446 +- 0.0445,0.1760 +- 0.0000
b,instance_0005,0.0906 +- 0.0000,0.0000 +- 0.0000
b,instance_0006,0.6985 +- 0.1810,0.3616 +- 0.0799
b,instance_0007,0.0000 +- 0.0000,0.0000 +- 0.0000
b,instance_0008,0.3523 +- 0.1245,0.2422 +- 0.0934
b,instance_0009,0.0866 +- 0.1224,0.3030 +- 0.0612
b,instance_0010,0.0000 +- 0.0000,0.0000 +- 0.0000
b,instance_0011,0.6064 +- 0.0865,0.7454 +- 0.0315
b,instance_0012,0.0000 +- 0.0000,0.0000 +- 0.0000
b,instance_0013,0.4770 +- 0.0934,0.4697 +- 0.2698
b,instance_0014,0.8473 +- 0.0000,0.8285 +- 0.0266
b,instance_0015,0.1075 +- 0.0304,1.1307 +- 1.4166
x,instance_0001,0.9413 +- 0.7321,0.0593 +- 0.0644
x,instance_0002,0.0000 +- 0.0000,0.0000 +- 0.0000
x,instance_0003,0.0499 +- 0.0000,0.0250 +- 0.0353
x,instance_0004,0.0617 +- 0.0872,0.0000 +- 0.0000
x,instance_0005,0.0000 +- 0.0000,0.0000 +- 0.0000
x,instance_0006,0.0745 +- 0.1053,0.0000 +- 0.0000
x,instance_0007,0.2004 +- 0.0000,0.2672 +- 0.0945
x,instance_0008,3.6334 +- 0.0323,0.0254 +- 0.0359
x,instance_0009,0.6022 +- 0.1401,0.6480 +- 0.0755
x,instance_0010,0.2333 +- 0.0000,0.2333 +- 0.0000
x,instance_0011,0.2123 +- 0.1001,0.1179 +- 0.0334
x,instance_0012,0.3857 +- 0.0176,0.1368 +- 0.0176
x,instance_0013,0.2290 +- 0.0000,0.2290 +- 0.0000
x,instance_0014,0.0408 +- 0.0000,0.0408 +- 0.0000
x,instance_0015,0.2239 +- 0.0244,0.0000 +- 0.0000
