Algoritmo,Inst. Otimo,Inst. Sem Otimo,Total,% Otimo
gvns_at001_ps010_li12000,3,1,4,75.0
gvns_at001_ps020_li12000,3,1,4,75.0
gvns_at001_ps010_li5000,2,2,4,50.0
gvns_at001_ps010_li2000,2,2,4,50.0
gvns_at001_ps020_li5000,2,2,4,50.0
gvns_at001_ps020_li2000,2,2,4,50.0
gvns_at005_ps010_li5000,2,2,4,50.0
gvns_at005_ps010_li2000,2,2,4,50.0
gvns_at010_ps020_li12000,2,2,4,50.0
gvns_at010_ps020_li2000,2,2,4,50.0
gvns_at005_ps010_li8000,2,2,4,50.0
gvns_at005_ps020_li2000,2,2,4,50.0
gvns_at005_ps020_li8000,2,2,4,50.0
gvns_at005_ps020_li5000,2,2,4,50.0
gvns_at010_ps010_li2000,2,2,4,50.0
gvns_at010_ps010_li12000,2,2,4,50.0
gvns_at010_ps020_li5000,2,2,4,50.0
gvns_at010_ps020_li8000,2,2,4,50.0
gvns_at010_ps010_li5000,2,2,4,50.0
gvns_at010_ps010_li8000,2,2,4,50.0
gvns_at001_ps020_li8000,1,3,4,25.0
gvns_at001_ps010_li8000,1,3,4,25.0
gvns_at005_ps020_li12000,1,3,4,25.0
gvns_at005_ps010_li12000,1,3,4,25.0
