Dataset,Algoritmo,Total Runs,% Melhor + DP,Tempo media + DP
a,gvns_at005_ps020_li2000,8,98.5705 +- 1.5923,600.5626 +- 0.3606
a,gvns_at005_ps010_li2000,8,98.5705 +- 1.5923,600.9164 +- 0.5937
a,gvns_at001_ps010_li12000,8,98.5519 +- 2.2119,600.7959 +- 0.5122
a,gvns_at001_ps020_li12000,8,98.5519 +- 2.2119,600.8270 +- 0.5337
a,gvns_at005_ps010_li5000,8,98.2386 +- 2.5615,600.8040 +- 0.4406
a,gvns_at005_ps020_li5000,8,98.2386 +- 2.5615,600.5466 +- 0.2901
a,gvns_at010_ps010_li5000,8,98.2386 +- 2.5615,600.7959 +- 0.4833
a,gvns_at010_ps020_li5000,8,98.2386 +- 2.5615,600.7699 +- 0.4027
a,gvns_at001_ps010_li2000,8,97.9747 +- 2.7470,600.5548 +- 0.3634
a,gvns_at001_ps020_li2000,8,97.9747 +- 2.7470,600.8090 +- 0.4605
a,gvns_at001_ps010_li5000,8,97.7253 +- 2.4847,600.7722 +- 0.5043
a,gvns_at001_ps020_li5000,8,97.7253 +- 2.4847,600.7780 +- 0.4575
a,gvns_at010_ps010_li12000,8,97.6457 +- 2.1405,600.8316 +- 0.5197
a,gvns_at010_ps020_li12000,8,97.6457 +- 2.1405,600.8290 +- 0.4664
a,gvns_at010_ps020_li2000,8,97.5851 +- 3.7977,600.8451 +- 0.4915
a,gvns_at010_ps010_li2000,8,97.5851 +- 3.7977,600.7406 +- 0.4481
a,gvns_at005_ps010_li8000,8,97.2387 +- 2.9663,600.8699 +- 0.4330
a,gvns_at005_ps020_li8000,8,97.2387 +- 2.9663,600.6711 +- 0.4012
a,gvns_at010_ps010_li8000,8,96.2259 +- 5.5295,600.8141 +- 0.4631
a,gvns_at010_ps020_li8000,8,96.2259 +- 5.5295,600.7904 +- 0.4446
a,gvns_at001_ps020_li8000,8,95.8523 +- 3.5980,600.7485 +- 0.4197
a,gvns_at001_ps010_li8000,8,95.8523 +- 3.5980,600.6344 +- 0.3516
a,gvns_at005_ps020_li12000,8,95.1583 +- 4.1229,600.6917 +- 0.4462
a,gvns_at005_ps010_li12000,8,95.1583 +- 4.1229,600.8311 +- 0.4379
