Dataset,Instancia,Algoritmo,Runs,Gap media + DP,Tempo media + DP
a,instance_0001,simple_asc_multi,5,0.8429 +- 0.0000,0.0018 +- 0.0005
a,instance_0001,simple_asc_simple,5,0.8625 +- 0.0000,0.0050 +- 0.0020
a,instance_0001,simple_desc_multi,5,0.7167 +- 0.0000,0.0007 +- 0.0004
a,instance_0001,simple_desc_simple,5,0.7333 +- 0.0000,0.0013 +- 0.0005
a,instance_0001,simple_diff_multi_bigger,5,0.8029 +- 0.0000,0.0008 +- 0.0003
a,instance_0001,simple_diff_multi_most_shared,5,0.8029 +- 0.0000,0.0015 +- 0.0017
a,instance_0001,simple_diff_multi_random,5,0.8077 +- 0.0071,0.0011 +- 0.0007
a,instance_0001,simple_diff_multi_smaller,5,0.8029 +- 0.0000,0.0007 +- 0.0002
a,instance_0001,simple_diff_simple_bigger,5,0.8111 +- 0.0000,0.0022 +- 0.0018
a,instance_0001,simple_diff_simple_most_shared,5,0.8111 +- 0.0000,0.0020 +- 0.0013
a,instance_0001,simple_diff_simple_random,5,0.8170 +- 0.0061,0.0035 +- 0.0014
a,instance_0001,simple_diff_simple_smaller,5,0.8111 +- 0.0000,0.0022 +- 0.0014
a,instance_0001,simple_diff_weighted_multi_bigger,5,0.8029 +- 0.0000,0.0013 +- 0.0015
a,instance_0001,simple_diff_weighted_multi_most_shared,5,0.8029 +- 0.0000,0.0007 +- 0.0001
a,instance_0001,simple_diff_weighted_multi_random,5,0.8077 +- 0.0071,0.0013 +- 0.0014
a,instance_0001,simple_diff_weighted_multi_smaller,5,0.8029 +- 0.0000,0.0008 +- 0.0005
a,instance_0001,simple_diff_weighted_simple_bigger,5,0.8111 +- 0.0000,0.0014 +- 0.0003
a,instance_0001,simple_diff_weighted_simple_most_shared,5,0.8111 +- 0.0000,0.0030 +- 0.0013
a,instance_0001,simple_diff_weighted_simple_random,5,0.8170 +- 0.0061,0.0030 +- 0.0019
a,instance_0001,simple_diff_weighted_simple_smaller,5,0.8111 +- 0.0000,0.0030 +- 0.0020
a,instance_0001,simple_random_multi,5,0.7882 +- 0.0251,0.0021 +- 0.0009
a,instance_0001,simple_random_simple,5,0.7928 +- 0.0310,0.0043 +- 0.0006
a,instance_0001,simple_similar_multi_bigger,5,0.7481 +- 0.0000,0.0009 +- 0.0006
a,instance_0001,simple_similar_multi_most_shared,5,0.7939 +- 0.0000,0.0006 +- 0.0000
a,instance_0001,simple_similar_multi_random,5,0.8048 +- 0.0100,0.0006 +- 0.0001
a,instance_0001,simple_similar_multi_smaller,5,0.7939 +- 0.0000,0.0010 +- 0.0009
a,instance_0001,simple_similar_simple_bigger,5,0.7733 +- 0.0000,0.0029 +- 0.0023
a,instance_0001,simple_similar_simple_most_shared,5,0.8029 +- 0.0000,0.0022 +- 0.0014
a,instance_0001,simple_similar_simple_random,5,0.8157 +- 0.0119,0.0024 +- 0.0013
a,instance_0001,simple_similar_simple_smaller,5,0.8029 +- 0.0000,0.0017 +- 0.0006
a,instance_0001,simple_similar_weighted_multi_bigger,5,0.7481 +- 0.0000,0.0010 +- 0.0010
a,instance_0001,simple_similar_weighted_multi_most_shared,5,0.7939 +- 0.0000,0.0007 +- 0.0003
a,instance_0001,simple_similar_weighted_multi_random,5,0.8048 +- 0.0100,0.0023 +- 0.0022
a,instance_0001,simple_similar_weighted_multi_smaller,5,0.7939 +- 0.0000,0.0017 +- 0.0014
a,instance_0001,simple_similar_weighted_simple_bigger,5,0.7733 +- 0.0000,0.0019 +- 0.0010
a,instance_0001,simple_similar_weighted_simple_most_shared,5,0.8029 +- 0.0000,0.0020 +- 0.0007
a,instance_0001,simple_similar_weighted_simple_random,5,0.8157 +- 0.0119,0.0025 +- 0.0013
a,instance_0001,simple_similar_weighted_simple_smaller,5,0.8029 +- 0.0000,0.0015 +- 0.0005
a,instance_0002,simple_asc_multi,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_asc_simple,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_desc_multi,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_desc_simple,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_multi_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_multi_most_shared,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_multi_random,5,0.1000 +- 0.2236,0.0001 +- 0.0000
a,instance_0002,simple_diff_multi_smaller,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_simple_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_simple_most_shared,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_simple_random,5,0.1000 +- 0.2236,0.0001 +- 0.0000
a,instance_0002,simple_diff_simple_smaller,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_multi_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_multi_most_shared,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_multi_random,5,0.1000 +- 0.2236,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_multi_smaller,5,0.0000 +- 0.0000,0.0004 +- 0.0008
a,instance_0002,simple_diff_weighted_simple_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_simple_most_shared,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_simple_random,5,0.1000 +- 0.2236,0.0003 +- 0.0005
a,instance_0002,simple_diff_weighted_simple_smaller,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_random_multi,5,0.4000 +- 0.2236,0.0001 +- 0.0002
a,instance_0002,simple_random_simple,5,0.4000 +- 0.2236,0.0001 +- 0.0000
a,instance_0002,simple_similar_multi_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_multi_most_shared,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_multi_random,5,0.3000 +- 0.2739,0.0001 +- 0.0000
a,instance_0002,simple_similar_multi_smaller,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_simple_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_simple_most_shared,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_simple_random,5,0.3000 +- 0.2739,0.0001 +- 0.0000
a,instance_0002,simple_similar_simple_smaller,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_multi_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_multi_most_shared,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_multi_random,5,0.3000 +- 0.2739,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_multi_smaller,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_simple_bigger,5,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_simple_most_shared,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_similar_weighted_simple_random,5,0.3000 +- 0.2739,0.0004 +- 0.0005
a,instance_0002,simple_similar_weighted_simple_smaller,5,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0003,simple_asc_multi,5,0.7719 +- 0.0000,0.0043 +- 0.0032
a,instance_0003,simple_asc_simple,5,0.7886 +- 0.0000,0.0056 +- 0.0015
a,instance_0003,simple_desc_multi,5,0.5794 +- 0.0000,0.0012 +- 0.0005
a,instance_0003,simple_desc_simple,5,0.6159 +- 0.0000,0.0028 +- 0.0010
a,instance_0003,simple_diff_multi_bigger,5,0.7323 +- 0.0000,0.0026 +- 0.0008
a,instance_0003,simple_diff_multi_most_shared,5,0.7569 +- 0.0000,0.0025 +- 0.0012
