algo_id,run_id,status,objective,items,aisles,exec_time
aisle_first_useful,1,feasible,3.2,96,30,0.127
aisle_first_useful,2,feasible,3.2,96,30,0.119
aisle_first_useful,3,feasible,3.2,96,30,0.133
aisle_first_useful,4,feasible,3.2,96,30,0.102
aisle_first_useful,5,feasible,3.2,96,30,0.136
aisle_first_units,1,feasible,3.0930232558139537,133,43,0.194
aisle_first_units,3,feasible,3.0930232558139537,133,43,0.172
aisle_first_units,2,feasible,3.0930232558139537,133,43,0.179
aisle_first_units,4,feasible,3.0930232558139537,133,43,0.191
aisle_first_variety,1,feasible,2.6666666666666665,64,24,0.157
aisle_first_variety,2,feasible,2.6666666666666665,64,24,0.104
aisle_first_variety,3,feasible,2.6666666666666665,64,24,0.088
aisle_first_units,5,feasible,3.0930232558139537,133,43,0.299
aisle_first_variety,5,feasible,2.6666666666666665,64,24,0.12
aisle_first_mixed,2,feasible,3.075,123,40,0.115
aisle_first_variety,4,feasible,2.6666666666666665,64,24,0.177
aisle_first_mixed,1,feasible,3.075,123,40,0.172
aisle_first_mixed,4,feasible,3.075,123,40,0.161
aisle_first_mixed,3,feasible,3.075,123,40,0.17
aisle_first_mixed,5,feasible,3.075,123,40,0.189
