algo_id,run_id,status,objective,items,aisles,exec_time
ils,1,feasible,962.375,7699,8,604.658
ils,2,feasible,962.375,7699,8,605.2
ils,3,feasible,962.375,7699,8,605.293
ils,4,feasible,962.375,7699,8,604.57
ils,5,feasible,962.375,7699,8,604.512
ils_low_max_iters,1,feasible,962.375,7699,8,604.659
ils_low_max_iters,2,feasible,962.375,7699,8,604.547
ils_low_max_iters,3,feasible,962.375,7699,8,604.849
ils_low_max_iters,4,feasible,962.375,7699,8,605.029
ils_low_max_iters,5,feasible,962.375,7699,8,604.343
