algo_id,run_id,status,objective,items,aisles,exec_time
ils,1,feasible,180.63636363636363,1987,11,10.529
ils,2,feasible,180.45454545454547,1985,11,10.629
ils,3,feasible,180.45454545454547,1985,11,10.366
ils,4,feasible,179.9090909090909,1979,11,10.568
ils,5,feasible,180.45454545454547,1985,11,10.585
ils_low_max_iters,1,feasible,179.0909090909091,1970,11,10.565
ils_low_max_iters,2,feasible,180.45454545454547,1985,11,10.524
ils_low_max_iters,3,feasible,180.45454545454547,1985,11,10.36
ils_low_max_iters,4,feasible,180.45454545454547,1985,11,10.445
ils_low_max_iters,5,feasible,180.63636363636363,1987,11,10.643
