algo_id,run_id,seed,status,objective,items,aisles,exec_time
gvns_at001_ps010_li2000,1,15861,feasible,4.416666666666667,53,12,600.053
gvns_at001_ps010_li5000,1,15861,feasible,4.416666666666667,53,12,600.073
gvns_at001_ps010_li8000,1,15861,feasible,4.153846153846154,54,13,600.147
gvns_at001_ps010_li12000,1,15861,feasible,4.416666666666667,53,12,600.063
gvns_at001_ps020_li2000,1,15861,feasible,4.416666666666667,53,12,600.106
gvns_at001_ps020_li5000,1,15861,feasible,4.416666666666667,53,12,600.118
gvns_at001_ps020_li8000,1,15861,feasible,4.153846153846154,54,13,600.174
gvns_at005_ps010_li2000,1,15861,feasible,4.416666666666667,53,12,600.12
gvns_at001_ps020_li12000,1,15861,feasible,4.416666666666667,53,12,600.168
gvns_at005_ps010_li5000,1,15861,feasible,4.416666666666667,53,12,600.09
gvns_at005_ps010_li8000,1,15861,feasible,4.153846153846154,54,13,600.189
gvns_at005_ps010_li12000,1,15861,feasible,4.153846153846154,54,13,600.133
gvns_at005_ps020_li2000,1,15861,feasible,4.416666666666667,53,12,600.051
gvns_at005_ps020_li5000,1,15861,feasible,4.416666666666667,53,12,600.074
gvns_at005_ps020_li8000,1,15861,feasible,4.153846153846154,54,13,600.099
gvns_at005_ps020_li12000,1,15861,feasible,4.153846153846154,54,13,600.13
gvns_at010_ps010_li2000,1,15861,feasible,4.416666666666667,53,12,600.082
gvns_at010_ps010_li5000,1,15861,feasible,4.416666666666667,53,12,600.074
gvns_at010_ps010_li8000,1,15861,feasible,3.7142857142857144,52,14,600.103
gvns_at010_ps010_li12000,1,15861,feasible,4.416666666666667,53,12,600.138
gvns_at010_ps020_li2000,1,15861,feasible,4.416666666666667,53,12,600.179
gvns_at010_ps020_li5000,1,15861,feasible,4.416666666666667,53,12,600.188
gvns_at010_ps020_li8000,1,15861,feasible,3.7142857142857144,52,14,600.118
gvns_at010_ps020_li12000,1,15861,feasible,4.416666666666667,53,12,600.12
gvns_at001_ps010_li2000,2,32494,feasible,4.416666666666667,53,12,600.061
gvns_at001_ps010_li5000,2,32494,feasible,4.285714285714286,60,14,600.076
gvns_at001_ps010_li8000,2,32494,feasible,4.0,52,13,600.095
gvns_at001_ps010_li12000,2,32494,feasible,4.416666666666667,53,12,600.071
gvns_at001_ps020_li2000,2,32494,feasible,4.416666666666667,53,12,600.121
gvns_at001_ps020_li5000,2,32494,feasible,4.285714285714286,60,14,600.067
gvns_at001_ps020_li8000,2,32494,feasible,4.0,52,13,600.144
gvns_at001_ps020_li12000,2,32494,feasible,4.416666666666667,53,12,600.114
gvns_at005_ps010_li2000,2,32494,feasible,4.416666666666667,53,12,600.194
gvns_at005_ps010_li5000,2,32494,feasible,4.416666666666667,53,12,600.137
gvns_at005_ps010_li8000,2,32494,feasible,4.416666666666667,53,12,600.184
gvns_at005_ps010_li12000,2,32494,feasible,4.105263157894737,78,19,600.157
gvns_at005_ps020_li2000,2,32494,feasible,4.416666666666667,53,12,600.099
gvns_at005_ps020_li5000,2,32494,feasible,4.416666666666667,53,12,600.09
gvns_at005_ps020_li8000,2,32494,feasible,4.416666666666667,53,12,600.117
gvns_at005_ps020_li12000,2,32494,feasible,4.105263157894737,78,19,600.132
gvns_at010_ps010_li2000,2,32494,feasible,4.416666666666667,53,12,600.056
gvns_at010_ps010_li5000,2,32494,feasible,4.416666666666667,53,12,600.121
gvns_at010_ps010_li8000,2,32494,feasible,4.416666666666667,53,12,600.131
gvns_at010_ps010_li12000,2,32494,feasible,4.230769230769231,55,13,600.119
gvns_at010_ps020_li2000,2,32494,feasible,4.416666666666667,53,12,600.067
gvns_at010_ps020_li5000,2,32494,feasible,4.416666666666667,53,12,600.167
gvns_at010_ps020_li8000,2,32494,feasible,4.416666666666667,53,12,600.141
gvns_at010_ps020_li12000,2,32494,feasible,4.230769230769231,55,13,600.123
