algo_id,run_id,status,objective,items,aisles,exec_time
simple_random_simple,1,feasible,2.0,2,1,0.00015496
simple_random_simple,2,feasible,1.0,2,2,0.00019126
simple_random_simple,4,feasible,1.0,2,2,0.000158089
simple_random_simple,3,feasible,1.0,2,2,0.000145109
simple_random_simple,5,feasible,1.0,2,2,0.00359022
simple_random_multi,2,feasible,1.0,2,2,0.000164686
simple_random_multi,1,feasible,2.0,2,1,0.000174582
simple_random_multi,5,feasible,1.0,2,2,0.00015315
simple_random_multi,4,feasible,1.0,2,2,0.000164789
simple_asc_simple,4,feasible,1.0,2,2,0.000146006
simple_random_multi,3,feasible,1.0,2,2,0.000174242
simple_asc_simple,1,feasible,1.0,2,2,0.000148947
simple_asc_simple,3,feasible,1.0,2,2,0.00018067
simple_random_exact,2,feasible,1.0,2,2,0.0274999
simple_random_exact,1,feasible,2.0,2,1,0.0204358
simple_asc_simple,2,feasible,1.0,2,2,0.000151705
simple_asc_simple,5,feasible,1.0,2,2,0.000166003
simple_random_exact,4,feasible,1.0,2,2,0.0156442
simple_asc_multi,1,feasible,1.0,2,2,0.000164007
simple_random_exact,3,feasible,1.0,2,2,0.0223158
simple_asc_multi,2,feasible,1.0,2,2,0.000155182
simple_random_exact,5,feasible,1.0,2,2,0.0149381
simple_asc_multi,4,feasible,1.0,2,2,0.0001561
simple_asc_multi,5,feasible,1.0,2,2,0.000240423
simple_desc_simple,2,feasible,2.0,2,1,0.000148438
simple_desc_simple,1,feasible,2.0,2,1,0.000143956
simple_asc_multi,3,feasible,1.0,2,2,0.000147409
simple_desc_multi,1,feasible,2.0,2,1,0.000152014
simple_desc_simple,4,feasible,2.0,2,1,0.000158594
simple_desc_simple,3,feasible,2.0,2,1,0.000145222
simple_desc_multi,4,feasible,2.0,2,1,0.00014708
simple_asc_exact,2,feasible,1.0,2,2,0.0200541
simple_desc_multi,2,feasible,2.0,2,1,0.000150754
simple_asc_exact,3,feasible,1.0,2,2,0.0218628
simple_asc_exact,5,feasible,1.0,2,2,0.0148979
simple_desc_simple,5,feasible,2.0,2,1,0.000167377
simple_desc_multi,3,feasible,2.0,2,1,0.000143161
simple_asc_exact,4,feasible,1.0,2,2,0.0280665
simple_asc_exact,1,feasible,1.0,2,2,0.0208947
simple_similar_simple_random,1,feasible,2.0,2,1,0.000186288
simple_similar_simple_random,2,feasible,1.0,2,2,0.000207297
simple_similar_simple_random,4,feasible,2.0,2,1,0.00018598
simple_similar_simple_random,5,feasible,1.0,2,2,0.000236003
simple_desc_multi,5,feasible,2.0,2,1,0.000147629
simple_similar_simple_smaller,1,feasible,1.0,2,2,0.0001907
simple_desc_exact,5,feasible,2.0,2,1,0.00886378
simple_desc_exact,4,feasible,2.0,2,1,0.0119971
simple_similar_simple_random,3,feasible,1.0,2,2,0.000192396
simple_desc_exact,2,feasible,2.0,2,1,0.0300845
simple_similar_simple_smaller,2,feasible,1.0,2,2,0.000198841
simple_similar_simple_smaller,4,feasible,1.0,2,2,0.000222067
simple_similar_simple_smaller,3,feasible,1.0,2,2,0.000201132
simple_similar_simple_bigger,3,feasible,2.0,2,1,0.000158338
simple_similar_simple_smaller,5,feasible,1.0,2,2,0.000204746
simple_similar_simple_bigger,1,feasible,2.0,2,1,0.000188327
simple_desc_exact,3,feasible,2.0,2,1,0.0246138
simple_similar_simple_bigger,4,feasible,2.0,2,1,0.000146564
simple_similar_simple_bigger,2,feasible,2.0,2,1,0.000182858
simple_desc_exact,1,feasible,2.0,2,1,0.0319467
simple_similar_simple_most_shared,2,feasible,1.0,2,2,0.000309318
simple_similar_simple_most_shared,3,feasible,1.0,2,2,0.000215103
simple_similar_simple_most_shared,1,feasible,1.0,2,2,0.000210822
simple_similar_simple_bigger,5,feasible,2.0,2,1,0.000178057
simple_similar_multi_random,2,feasible,1.0,2,2,0.000434595
simple_similar_simple_most_shared,4,feasible,1.0,2,2,0.000201167
simple_similar_multi_smaller,2,feasible,1.0,2,2,0.000183263
simple_similar_simple_most_shared,5,feasible,1.0,2,2,0.000209134
simple_similar_multi_smaller,1,feasible,1.0,2,2,0.000192824
simple_similar_multi_random,3,feasible,1.0,2,2,0.000185729
simple_similar_multi_random,5,feasible,1.0,2,2,0.000179426
simple_similar_multi_random,1,feasible,2.0,2,1,0.000144475
simple_similar_multi_random,4,feasible,2.0,2,1,0.000176475
simple_similar_multi_smaller,3,feasible,1.0,2,2,0.000239474
simple_similar_multi_smaller,5,feasible,1.0,2,2,0.00125533
simple_similar_multi_smaller,4,feasible,1.0,2,2,0.000215437
simple_similar_multi_bigger,5,feasible,2.0,2,1,0.000238033
simple_similar_multi_bigger,1,feasible,2.0,2,1,0.000171303
simple_similar_multi_bigger,2,feasible,2.0,2,1,0.00013882
simple_similar_multi_bigger,3,feasible,2.0,2,1,0.000179383
simple_similar_multi_bigger,4,feasible,2.0,2,1,0.000144183
simple_similar_multi_most_shared,2,feasible,1.0,2,2,0.000175006
simple_similar_multi_most_shared,1,feasible,1.0,2,2,0.000184278
simple_similar_multi_most_shared,3,feasible,1.0,2,2,0.000171792
simple_similar_multi_most_shared,4,feasible,1.0,2,2,0.000214093
simple_similar_multi_most_shared,5,feasible,1.0,2,2,0.000205235
simple_similar_exact_random,1,feasible,2.0,2,1,0.0146744
simple_similar_exact_smaller,1,feasible,1.0,2,2,0.00854508
simple_similar_exact_smaller,2,feasible,1.0,2,2,0.0108342
simple_similar_exact_random,3,feasible,1.0,2,2,0.0138099
simple_similar_exact_random,4,feasible,2.0,2,1,0.013684
simple_similar_exact_smaller,3,feasible,1.0,2,2,0.0155199
simple_similar_exact_random,2,feasible,1.0,2,2,0.0159696
simple_similar_exact_random,5,feasible,1.0,2,2,0.0125855
simple_similar_exact_smaller,4,feasible,1.0,2,2,0.00872495
simple_similar_exact_bigger,2,feasible,2.0,2,1,0.0171532
simple_similar_exact_smaller,5,feasible,1.0,2,2,0.0178501
simple_similar_exact_bigger,5,feasible,2.0,2,1,0.00440372
simple_similar_exact_bigger,1,feasible,2.0,2,1,0.018147
simple_similar_exact_bigger,4,feasible,2.0,2,1,0.0105868
simple_similar_exact_bigger,3,feasible,2.0,2,1,0.0128588
simple_similar_exact_most_shared,1,feasible,1.0,2,2,0.0111308
simple_diff_simple_random,1,feasible,1.0,2,2,0.000193958
simple_diff_simple_random,2,feasible,2.0,2,1,0.000180159
simple_diff_simple_smaller,1,feasible,2.0,2,1,0.000177109
simple_similar_exact_most_shared,3,feasible,1.0,2,2,0.0209659
simple_similar_exact_most_shared,2,feasible,1.0,2,2,0.0108801
simple_similar_exact_most_shared,4,feasible,1.0,2,2,0.0133622
simple_diff_simple_random,5,feasible,2.0,2,1,0.000211797
simple_diff_simple_smaller,5,feasible,2.0,2,1,0.00018796
simple_diff_simple_random,4,feasible,2.0,2,1,0.00422841
